Date,Time,Pressure Main,Pressure Autocalve 1,Pressure Autocalve 2,Pressure Autocalve 3,Pressure Autocalve 4,Pressure Autocalve 5,Pressure Autocalve 6,Pressure Autocalve 7,Pressure Autocalve 8,Temperature Autocalve 1,Temperature Autocalve 2,Temperature Autocalve 3,Temperature Autocalve 4,Temperature Autocalve 5,Temperature Autocalve 6,Temperature Autocalve 7,Temperature Autocalve 8,Vacuum pump,% Valve Live,% Valve Overflow,% Valve Waste,Main Meter steam flow,Main Meter steam ton
1/8/2026,00:29:14,13.15285,4.75,11.80845,12.15567,12.24537,12.08333,12.42824,-0.582176,6.712961E-02,153.0708,186.8273,189.7786,186.6862,186.2956,188.3898,83.71311,152.9514,0,6.802568,13.46933,99.76128,0,8673.756
1/8/2026,00:30:14,13.12753,4.586805,11.79919,12.13889,12.22743,12.07465,12.39063,-0.5248842,6.192124E-02,152.3546,186.8381,189.7895,186.7079,186.2847,188.3029,88.61762,152.7778,0,6.802568,15.88542,99.76128,0,8673.756
1/8/2026,00:31:14,13.2053,4.40162,11.80208,12.21296,12.29977,12.10359,12.37789,-0.4913194,6.307876E-02,151.7578,186.8923,189.9197,186.8056,186.4909,188.3681,91.99219,153.1033,0,6.802568,21.56033,99.7649,0,8673.756
1/8/2026,00:32:14,13.14381,4.19618,11.77951,12.12731,12.21528,12.05671,12.3287,-0.4519676,0.0625,150.8029,186.8815,189.9414,186.8598,186.4149,188.1402,93.64149,150.2604,0,6.802568,21.27821,0.1265914,0,8673.756
1/8/2026,00:33:14,13.1845,3.99537,11.77836,12.14931,12.23495,12.06019,12.31424,-0.4224537,6.076384E-02,149.6636,186.9683,189.9523,186.8273,186.3498,188.1185,94.4987,149.6202,0,6.802568,26.78313,0.1338252,0,8673.756
1/8/2026,00:34:14,13.17455,3.793403,11.7662,12.12558,12.21296,12.05324,12.29514,-0.3894676,0.0625,148.3832,187.0226,189.9631,186.8381,186.4041,187.9557,95.76823,149.8047,0,6.802568,32.7691,0.1265914,0,8673.756
1/8/2026,00:35:14,13.2487,3.603009,11.75405,12.04572,12.13368,12.02546,12.26794,-0.3292824,0.0613426,146.7665,186.6211,189.7027,186.5777,185.9592,187.2504,97.02691,149.9566,0,-3.22954,37.91233,0.141059,0,8673.756
1/8/2026,00:36:14,13.25593,3.423032,11.74595,12.0897,12.17188,12.04745,12.15856,-0.2789352,6.192124E-02,145.4644,186.5994,189.6484,186.5777,185.9592,187.0877,97.97092,149.5551,0,-3.233274,45.61632,0.141059,0,8673.756
1/8/2026,00:37:14,13.19897,3.25463,11.73553,12.06713,12.1522,12.04282,12.06134,-0.2309028,0.0613426,144.0972,186.6536,189.7135,186.5885,185.9918,186.8056,99.73959,149.4032,0,-3.233274,50.52445,0.1338252,0,8673.756
1/8/2026,00:38:14,13.23604,3.096065,11.73669,12.16667,12.24595,12.08391,12.00174,-0.2094907,6.307876E-02,142.6866,186.5234,189.8329,186.5885,186.0352,186.6536,100.5751,149.1971,0,-3.237007,56.84679,0.1446759,0,8673.756
1/8/2026,00:39:14,13.22067,2.945023,11.72049,12.07234,12.15394,12.04919,11.92998,-0.1516204,6.192124E-02,141.5039,186.6319,189.974,186.7622,186.0569,186.263,102.0942,148.8173,0,-3.237007,61.53067,0.141059,0,8673.756
1/8/2026,00:40:14,13.19625,2.805556,11.71528,12.09896,12.18287,12.0625,11.90046,-0.1059028,6.076384E-02,140.115,186.6102,189.898,186.7079,186.1762,186.0026,103.1033,148.3615,0,-3.237007,65.62138,0.1374421,0,8673.756
1/8/2026,00:41:14,13.19716,2.672454,11.70833,12.08681,12.17651,12.05903,11.88426,-6.828701E-02,6.018519E-02,138.8455,186.4909,189.7895,186.6428,186.1654,186.0134,104.2969,147.819,0,-3.240741,65.61415,0.1338252,0,8673.756
1/8/2026,00:42:14,13.19987,2.548611,11.69907,12.0787,12.17361,12.04977,11.87269,-3.703701E-02,6.192124E-02,137.5,186.4909,189.7027,186.6319,186.0786,185.8941,105.2517,147.1897,0,-3.240741,65.61053,0.1302083,0,8673.756
1/8/2026,00:43:14,13.24056,2.428819,11.69444,12.0706,12.16377,12.04456,11.86516,1.388884E-02,6.192124E-02,136.4366,186.5017,189.6701,186.6319,186.0243,185.7205,106.2174,146.8858,0,-3.244474,65.61053,0.1302083,0,8673.756
1/8/2026,00:44:14,13.21162,2.320602,11.68461,12.04745,12.14063,12.02778,11.85243,4.456019E-02,0.0625,135.2431,186.5017,189.5942,186.6645,186.0134,185.612,107.1506,147.0378,0,-3.240741,65.61053,0.1229745,0,8673.756
1/8/2026,00:45:14,13.22067,2.212963,11.67651,12.02373,12.11979,12.01505,11.84491,8.506942E-02,0.0613426,134.0495,186.5343,189.6376,186.6645,185.97,185.5794,108.3876,147.0269,0,-3.244474,65.60692,0.1374421,0,8673.756
1/8/2026,00:46:14,13.23966,2.115162,11.67072,12.01505,12.11227,12.00694,11.8397,0.1255788,0.0625,133.0078,186.5668,189.5725,186.6428,185.9375,185.5794,109.2448,146.8208,0,-3.240741,65.60329,0.1338252,0,8673.756
1/8/2026,00:47:14,13.21434,2.021412,11.66435,12.00926,12.10359,12.00116,11.83507,0.1637732,6.192124E-02,131.76,186.556,189.6159,186.6102,185.8941,185.4926,110.536,146.5061,0,-3.240741,65.60329,0.1338252,0,8673.756
1/8/2026,00:48:14,13.21162,1.934028,11.65625,12.00347,12.09549,11.99595,11.8316,0.2019676,6.192124E-02,130.7075,186.4366,189.5182,186.6211,185.9483,185.5035,110.7639,145.8659,0,-3.244474,65.60329,0.1374421,0,8673.756
1/8/2026,00:49:14,13.20801,1.850694,11.64757,12,12.09375,11.98901,11.8287,0.2366898,0.0636574,129.5573,186.5451,189.6159,186.5885,185.8724,185.3841,112.0877,145.5512,0,-3.244474,65.60329,0.1338252,0,8673.756
1/8/2026,00:50:14,13.23513,1.771991,11.6412,11.99306,12.08912,11.9838,11.82465,0.2650462,0.0613426,128.6024,186.4366,189.5182,186.5777,185.8398,185.3733,112.5,145.0412,0,-3.244474,65.60329,0.1338252,0,8673.756
1/8/2026,00:51:14,13.21705,1.697338,11.63484,11.9919,12.08449,11.97917,11.82234,0.2945602,6.192124E-02,127.6693,186.3173,189.5074,186.5668,185.7964,185.4709,113.2595,144.8785,0,-3.244474,65.59968,0.1338252,0,8673.756
1/8/2026,00:52:14,13.21795,1.629051,11.62789,11.98438,12.07639,11.97743,11.8206,0.3425926,0.0625,126.8446,186.4149,189.6159,186.5885,185.7639,185.3841,114.1059,144.5421,0,-3.244474,65.59968,0.1302083,0,8673.756
1/8/2026,00:53:14,13.23423,1.566551,11.62211,11.9838,12.0706,11.97164,11.81829,0.3668982,6.307876E-02,125.9115,186.4149,189.5074,186.5126,185.7422,185.2648,114.5399,143.8042,0,-3.248208,65.59606,0.141059,0,8673.756
1/8/2026,00:54:14,13.23333,1.506944,11.61516,11.98206,12.06829,11.96875,11.81481,0.3998842,0.0625,125.1736,186.556,189.4857,186.5017,185.7313,185.395,115.2778,143.0773,0,-3.244474,65.59606,0.141059,0,8673.756
1/8/2026,00:55:14,13.20801,1.457176,11.60995,11.97974,12.06539,11.96701,11.8125,0.4230324,6.307876E-02,124.2839,186.4041,189.4965,186.4909,185.6879,185.3082,115.6358,142.4696,0,-3.244474,65.59968,0.1374421,0,8673.756
1/8/2026,00:56:14,13.227,1.400463,11.60243,11.97743,12.0625,11.96412,11.80845,0.449074,6.307876E-02,123.6003,186.3281,189.4097,186.4583,185.7096,185.3841,116.2652,141.0699,0,-3.248208,65.59606,0.1338252,0,8673.756
1/8/2026,00:57:14,13.21253,1.349537,11.59433,11.9728,12.05903,11.96123,11.80729,0.480324,6.307876E-02,122.7322,186.4366,189.4097,186.4475,185.6771,185.2756,116.8294,139.8221,0,-3.251941,65.59606,0.1302083,0,8673.756
1/8/2026,00:58:14,13.25051,1.317708,11.6412,11.97454,12.0706,11.98438,11.8559,0.5260416,6.192124E-02,121.6146,185.6554,188.8563,185.8941,184.7222,183.9952,115.4948,138.9323,0,-3.248208,45.97439,0.1374421,0,8673.756
1/8/2026,00:59:14,13.22338,1.263889,11.59664,11.95486,12.05093,11.9728,11.8478,0.5295138,0.0625,121.1372,185.8724,189.0951,186.1003,184.9284,184.1146,116.1133,137.6845,0,-3.248208,-1.106771,0.1374421,0,8673.756
1/8/2026,01:00:14,13.24779,1.146991,11.3669,11.85474,11.94097,11.90683,11.77778,0.5694444,0.0636574,120.6163,186.0786,189.388,186.5234,185.4926,184.8307,117.2852,129.5573,0,-3.248208,8.951822,18.63788,0,8673.756
1/8/2026,01:01:14,13.25231,1.041088,10.9809,11.86169,11.94329,11.89699,11.76505,0.6626158,6.307876E-02,119.7049,185.6988,189.7461,186.773,185.8181,185.2756,119.401,125.3038,0,-3.248208,13.95399,52.72714,0,8673.756
1/8/2026,01:02:14,13.22519,0.9398148,10.62731,11.98438,12.06366,11.95197,11.79572,0.730324,0.0625,118.2834,184.2014,189.5725,186.5994,185.8398,185.5469,120.638,128.7652,0,3.405018,12.22873,52.91884,0,8673.756
1/8/2026,01:03:14,12.61031,0.8524306,10.33738,11.89178,11.99884,11.93345,12.00289,0.8125,6.307876E-02,116.7969,183.138,189.5399,186.6753,185.7856,185.4275,121.8641,130.2843,0,31.7279,11.5162,70.0557,3.504834,8673.803
1/8/2026,01:04:14,12.94126,0.7673612,10.01157,11.90741,12.03935,11.96759,12.21065,0.8871528,6.307876E-02,115.2995,181.6949,189.5833,186.7188,185.8615,185.9918,123.1662,131.4345,0,31.72416,11.81641,87.23958,3.632111,8673.861
1/8/2026,01:05:14,12.93584,0.6903936,9.815972,11.97685,12.14873,12.04109,12.4213,0.9346064,6.307876E-02,113.52,180.3928,189.1819,186.4475,185.6879,186.4258,122.9709,132.5955,0,31.72416,9.436487,99.73597,3.340991,8673.921
1/8/2026,01:06:14,12.98286,0.6238426,9.546875,11.88021,12.09606,12.03819,12.55613,1.01331,6.192124E-02,111.7296,179.0256,188.8346,186.2305,185.2539,186.339,123.0469,133.214,0,31.7279,11.02069,99.73958,3.132119,8673.975
1/8/2026,01:07:14,13.02355,0.5590278,9.339699,11.98322,12.23438,12.12269,12.7228,1.05787,6.307876E-02,110.8398,178.4722,189.1493,186.5343,186.1437,187.576,124.7287,133.4418,0,31.7279,10.85431,99.7432,2.960315,8674.025
1/8/2026,01:08:14,13.06333,0.5017362,9.047454,12.03241,12.31829,12.17535,12.85532,1.136574,6.192124E-02,109.6029,177.6042,189.247,186.7622,186.5017,188.4115,125.9549,132.8559,0,31.7279,13.5923,99.74682,2.797076,8674.072
1/8/2026,01:09:14,13.08955,0.4537038,8.784722,11.97974,12.30324,12.19387,12.94792,1.225694,0.0625,108.355,176.3238,189.0082,186.8381,186.5343,188.4874,127.1376,132.6497,0,31.7279,12.88701,99.74682,2.640514,8674.117
1/8/2026,01:10:14,13.68182,0.4050926,8.464699,12.00058,12.36516,12.23958,12.92824,1.324653,6.076384E-02,107.3785,175.0868,189.171,187.1636,186.8056,189.1385,128.4614,132.6063,0,-3.222073,16.25434,99.75043,0,8674.142
1/8/2026,01:11:14,13.5281,0.3680556,8.144097,11.93345,12.33044,12.23611,12.81366,1.435764,6.192124E-02,106.0547,173.7088,189.0625,187.1311,186.6536,188.5851,129.7635,132.3785,0,-3.22954,13.98655,99.75043,0,8674.142
1/8/2026,01:12:14,13.29662,0.3287038,7.880208,11.9647,12.39583,12.27662,12.73901,1.531829,0.0613426,105.1107,172.5043,189.0408,187.2938,186.9358,188.4874,130.8268,131.9879,0,-3.237007,15.9035,99.75043,0,8674.142
1/8/2026,01:13:14,13.40151,0.296875,7.592592,11.96123,12.42245,12.29051,12.66493,1.630787,6.192124E-02,104.1667,171.2131,189.1276,187.3481,186.9792,188.3789,132.2591,131.5755,0,-3.240741,15.89265,99.75043,0,8674.142
